id,labels
1,9
2,4
3,5
4,1
5,0
6,8
7,2
8,5
9,0
10,9
11,9
12,2
13,5
14,5
15,9
16,8
17,2
18,8
19,1
20,7
21,8
22,7
23,1
24,0
25,5
26,5
27,3
28,4
29,2
30,9
31,1
32,8
33,1
34,2
35,8
36,4
37,1
38,7
39,1
40,6
41,6
42,1
43,8
44,1
45,2
46,4
47,5
48,6
49,5
50,9
51,8
52,8
53,1
54,8
55,1
56,2
57,1
58,5
59,1
60,5
61,1
62,1
63,8
64,2
65,1
66,8
67,6
68,1
69,2
70,4
71,4
72,8
73,9
74,1
75,4
76,1
77,1
78,8
79,8
80,5
81,9
82,7
83,7
84,8
85,0
86,3
87,2
88,4
89,0
90,9
91,7
92,8
93,2
94,1
95,1
96,3
97,4
98,9
99,8
100,1
101,1
102,2
103,7
104,1
105,3
106,1
107,1
108,7
109,8
110,8
111,4
112,8
113,8
114,5
115,6
116,6
117,8
118,8
119,2
120,7
121,8
122,4
123,5
124,7
125,0
126,6
127,8
128,9
129,2
130,8
131,8
132,1
133,2
134,9
135,1
136,5
137,5
138,9
139,1
140,8
141,2
142,4
143,1
144,4
145,5
146,0
147,3
148,5
149,2
150,1
151,0
152,7
153,8
154,4
155,0
156,7
157,2
158,5
159,8
160,5
161,2
162,1
163,8
164,1
165,2
166,1
167,7
168,8
169,9
170,8
171,9
172,9
173,7
174,2
175,1
176,1
177,2
178,8
179,1
180,5
181,5
182,5
183,9
184,4
185,1
186,8
187,7
188,6
189,1
190,8
191,6
192,8
193,9
194,3
195,5
196,9
197,1
198,2
199,8
200,6
201,9
202,0
203,8
204,7
205,0
206,1
207,1
208,7
209,9
210,4
211,4
212,7
213,1
214,8
215,8
216,8
217,2
218,9
219,7
220,2
221,8
222,1
223,1
224,9
225,6
226,0
227,2
228,8
229,2
230,3
231,6
232,8
233,3
234,6
235,1
236,1
237,4
238,6
239,7
240,1
241,0
242,7
243,4
244,5
245,2
246,2
247,5
248,7
249,8
250,6
251,5
252,2
253,2
254,4
255,3
256,7
257,7
258,6
259,7
260,1
261,7
262,7
263,4
264,1
265,1
266,1
267,0
268,1
269,2
270,1
271,6
272,8
273,9
274,8
275,6
276,2
277,4
278,1
279,7
280,2
281,7
282,6
283,0
284,1
285,6
286,1
287,2
288,0
289,0
290,7
291,1
292,8
293,1
294,8
295,2
296,6
297,8
298,5
299,4
300,6
301,9
302,7
303,9
304,8
305,5
306,2
307,1
308,2
309,1
310,8
311,3
312,6
313,8
314,2
315,0
316,0
317,9
318,2
319,2
320,2
321,8
322,8
323,1
324,1
325,5
326,4
327,8
328,1
329,2
330,1
331,5
332,8
333,1
334,9
335,2
336,8
337,1
338,8
339,1
340,0
341,8
342,1
343,1
344,1
345,8
346,5
347,1
348,0
349,7
350,6
351,8
352,7
353,2
354,2
355,3
356,4
357,4
358,1
359,1
360,2
361,4
362,5
363,6
364,2
365,8
366,1
367,5
368,9
369,8
370,8
371,8
372,1
373,3
374,8
375,4
376,8
377,8
378,8
379,5
380,4
381,1
382,6
383,1
384,1
385,1
386,1
387,7
388,1
389,2
390,8
391,1
392,8
393,2
394,4
395,2
396,7
397,6
398,0
399,1
400,1
401,9
402,8
403,8
404,2
405,0
406,1
407,1
408,2
409,2
410,8
411,8
412,1
413,2
414,8
415,1
416,0
417,5
418,2
419,0
420,9
421,6
422,1
423,8
424,3
425,9
426,9
427,9
428,9
429,1
430,2
431,4
432,7
433,2
434,2
435,8
436,0
437,8
438,8
439,4
440,1
441,7
442,1
443,1
444,1
445,7
446,2
447,8
448,1
449,7
450,8
451,7
452,4
453,2
454,8
455,6
456,4
457,0
458,4
459,1
460,3
461,4
462,6
463,7
464,7
465,2
466,2
467,8
468,8
469,7
470,1
471,1
472,1
473,9
474,9
475,7
476,9
477,4
478,2
479,1
480,2
481,0
482,8
483,0
484,3
485,8
486,3
487,8
488,1
489,1
490,5
491,6
492,3
493,1
494,8
495,8
496,8
497,3
498,1
499,9
500,8
501,2
502,6
503,4
504,5
505,1
506,5
507,9
508,1
509,1
510,4
511,0
512,9
513,2
514,4
515,6
516,4
517,1
518,7
519,8
520,3
521,5
522,8
523,1
524,8
525,8
526,9
527,1
528,6
529,8
530,1
531,1
532,1
533,8
534,1
535,7
536,1
537,4
538,6
539,2
540,8
541,8
542,1
543,2
544,1
545,1
546,3
547,1
548,2
549,1
550,0
551,5
552,7
553,6
554,3
555,1
556,8
557,2
558,8
559,4
560,2
561,2
562,8
563,0
564,7
565,1
566,1
567,0
568,1
569,7
570,3
571,2
572,3
573,6
574,4
575,8
576,2
577,2
578,1
579,5
580,2
581,5
582,1
583,2
584,6
585,0
586,8
587,1
588,5
589,1
590,9
591,2
592,7
593,2
594,9
595,2
596,8
597,9
598,2
599,2
600,4
601,3
602,1
603,5
604,0
605,8
606,1
607,0
608,1
609,9
610,5
611,7
612,3
613,1
614,3
615,8
616,1
617,3
618,8
619,7
620,2
621,2
622,7
623,1
624,2
625,2
626,2
627,6
628,1
629,8
630,1
631,1
632,9
633,9
634,7
635,5
636,2
637,4
638,8
639,6
640,6
641,0
642,1
643,2
644,2
645,1
646,0
647,8
648,5
649,8
650,3
651,1
652,4
653,5
654,1
655,1
656,1
657,6
658,4
659,5
660,7
661,7
662,1
663,1
664,1
665,9
666,1
667,5
668,5
669,5
670,1
671,0
672,1
673,1
674,5
675,6
676,5
677,1
678,8
679,8
680,1
681,0
682,8
683,5
684,1
685,3
686,1
687,4
688,4
689,2
690,2
691,3
692,1
693,2
694,7
695,1
696,5
697,8
698,0
699,7
700,6
701,9
702,1
703,4
704,3
705,6
706,7
707,3
708,5
709,5
710,2
711,8
712,1
713,1
714,1
715,3
716,1
717,9
718,1
719,1
720,7
721,3
722,8
723,1
724,3
725,2
726,1
727,5
728,1
729,7
730,2
731,6
732,1
733,0
734,1
735,2
736,9
737,6
738,9
739,5
740,1
741,7
742,4
743,8
744,1
745,5
746,8
747,1
748,8
749,3
750,6
751,1
752,8
753,1
754,2
755,5
756,8
757,7
758,4
759,2
760,8
761,5
762,9
763,8
764,8
765,6
766,5
767,7
768,0
769,1
770,7
771,8
772,8
773,0
774,8
775,7
776,2
777,8
778,5
779,8
780,2
781,1
782,1
783,8
784,0
785,1
786,3
787,1
788,4
789,8
790,1
791,7
792,1
793,8
794,7
795,4
796,1
797,5
798,5
799,5
800,4
801,1
802,8
803,8
804,7
805,3
806,1
807,2
808,8
809,9
810,2
811,7
812,0
813,4
814,6
815,8
816,4
817,2
818,2
819,9
820,8
821,7
822,1
823,1
824,6
825,6
826,7
827,5
828,1
829,7
830,5
831,7
832,5
833,8
834,1
835,8
836,6
837,2
838,8
839,1
840,1
841,5
842,2
843,1
844,1
845,8
846,2
847,1
848,8
849,0
850,8
851,4
852,2
853,7
854,2
855,2
856,4
857,4
858,9
859,4
860,6
861,1
862,0
863,8
864,7
865,7
866,5
867,7
868,6
869,7
870,8
871,1
872,7
873,8
874,4
875,8
876,9
877,1
878,8
879,1
880,6
881,0
882,6
883,6
884,4
885,3
886,9
887,0
888,8
889,1
890,0
891,8
892,1
893,3
894,3
895,6
896,1
897,8
898,8
899,0
900,9
901,1
902,5
903,1
904,8
905,8
906,4
907,5
908,6
909,8
910,4
911,4
912,7
913,4
914,6
915,1
916,1
917,8
918,7
919,9
920,1
921,6
922,2
923,0
924,2
925,1
926,3
927,5
928,2
929,1
930,1
931,5
932,5
933,8
934,2
935,9
936,9
937,7
938,3
939,1
940,7
941,0
942,1
943,7
944,9
945,1
946,4
947,4
948,5
949,9
950,8
951,0
952,3
953,2
954,3
955,2
956,7
957,6
958,8
